n,recursive,dynamic
0,2.8100000000058634e-06,3.6500000000216914e-07
1,4.61999999992746e-07,4.1100000000571235e-07
2,9.210000000009488e-07,9.349999999935799e-07
3,9.600000000081765e-07,8.789999999953002e-07
4,1.3729999999989584e-06,8.339999999912306e-07
5,2.123999999992243e-06,8.300000000072139e-07
6,3.2910000000024864e-06,7.439999999969693e-07
7,5.196000000012857e-06,7.939999999984071e-07
8,8.411999999999309e-06,7.41999999998022e-07
9,1.574700000001039e-05,7.519999999927585e-07
10,2.1435000000000204e-05,7.780000000068288e-07
11,3.486299999999609e-05,7.849999999892665e-07
12,6.626499999999591e-05,1.6160000000098318e-06
13,0.00010964499999999155,1.1300000000019628e-06
14,0.0001383179999999984,9.489999999862109e-07
15,0.000226128000000006,7.549999999911794e-07
16,0.0004077229999999987,1.7570000000050046e-06
17,0.000636440000000002,1.6649999999979181e-06
18,0.0009697160000000093,1.3469999999987659e-06
19,0.0016040829999999923,1.6860000000007425e-06
20,0.002562758999999998,2.7330000000047594e-06
21,0.004064731000000002,2.1030000000032967e-06
22,0.006856694999999996,2.700999999993847e-06
23,0.011383562,2.8100000000058634e-06
24,0.017273744999999993,2.9009999999995983e-06
